,상품명,가격,이미지,행사정보,편의점 이름,카테고리
0,빙그레딸기우유200ml,900원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_71%2F15959000281443wENx_JPEG%2F8801104220200.jpg,1+1,미니스톱,음료
1,빙그레초코우유200ml,900원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_125%2F1595900029238JBRXe_JPEG%2F8801104220125.jpg,1+1,미니스톱,음료
2,황성주검은콩두유140ml,900원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_198%2F1595900277850vYfla_JPEG%2F8809111698265.jpg,1+1,미니스톱,음료
3,아이시스8.0,950원,https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_63%2F1595900098203BK3Dl_JPEG%2F8801056049881.jpg,1+1,미니스톱,음료
4,게토레이레몬캔,"1,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_124%2F1595899858635qFQMt_JPEG%2F8801056836016.jpg,1+1,미니스톱,음료
5,레쓰비카페타임라떼,"1,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_160%2F1595899940275iVGoR_JPEG%2F8801056050269.jpg,1+1,미니스톱,음료
6,레쓰비카페타임모닝커피,"1,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_216%2F1595899940680mDdCd_JPEG%2F8801056050238.jpg,1+1,미니스톱,음료
7,레쓰비카페타임아메리카노,"1,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_225%2F1595899940896NNT00_JPEG%2F8801056059729.jpg,1+1,미니스톱,음료
8,생강쌍화120ml병,"1,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_235%2F1595900045901XUTRM_JPEG%2F8809125061260.jpg,1+1,미니스톱,음료
9,생생톤180ml병,"1,000원",https://search.pstatic.net/common?type=ofullfill&size=174x174&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20200728_132%2F15959000465169LnGM_JPEG%2F8806016115613.jpg,1+1,미니스톱,음료
