brand,name,addr,time,atm,medicine,wine,lotto,bakery,delivery
cu,1타타대우상용차신협,"전라북도 군산시 동장산로 172, (소룡동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,2타타대우상용차신협,"전라북도 군산시 동장산로 172, (소룡동) 1층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,419사거리점,"서울특별시 강북구 삼양로139길 8, (우이동)",00:00~24:00,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,63빌딩점,"서울특별시 영등포구 63로 50, 하(여의도동)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,6공단1호점,인천광역시 남구 장고개로 48 믿음슈퍼,00:00~24:00,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,6공단2호점,인천광역시 남구 염전로 241,00:00~24:00,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,7번국도점,"경상북도 울진군 후포면 후포삼율로 260, (후포리)",00:00~24:00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,88체육관점,"서울특별시 강서구 공항대로 376, 체육관 1체육관 內(화곡동) 1층",00:00~00:00,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,BGF로지스용인점,"경기도 용인시 기흥구 이현로30번길 131-1, (보정동) 1층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,CK양평점,서울특별시 영등포구 영등포로3길 16,00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,EBS일산사옥점,"경기도 고양시 일산동구 한류월드로 281, (장항동) 지하1층",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
cu,ES충주호리조트점,"충청북도 제천시 수산면 옥순봉로 1248, (능강리)",00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,E가평휴게소상행선점,"경기도 가평군 설악면 미사리로 544, (미사리)",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,E가평휴게소하행선점,"경기도 가평군 설악면 미사리로540번길 51, (미사리)",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,E거가대교가덕휴게소,"부산광역시 강서구 거가대로 2571, (천성동) 1층",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,E거가대교거제휴게소,"경상남도 거제시 장목면 거가대로 1068, (율천리) 1층",00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,E경기광주휴게소상행,경기도 광주시 곤지암읍 만삼로 211 _,00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,E경기광주휴게소하행,경기도 광주시 곤지암읍 만삼로 270 _,00:00~24:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
cu,E구리남양주휴게소점,경기도 구리시 서울외곽순환고속도로 27 한국도로공사구리남양주영업소 (토평동) 한국도로공사구리남양주영업소,00:00~00:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
